name,latitude,longitude,verification_score
Arbutus Jewellers,49.2577135,-123.1645398,not matched
McDonald's,49.2500582025,-122.8924229495,"matched: 96.7, [""McDonald's"", (49.2501163, -122.8923026)]"
Bed Bath & Beyond,49.2635489,-123.144121,"not matched: 37.48, ['Delamont', (49.2635528, -123.1446436)]"
Budget T-Shirt,49.252504,-122.995283,not matched
Alberello Pizzeria,49.321967,-123.072807,"matched: 99.4, ['Alberello Pizzeria', (49.321953, -123.0728213)]"
Beaty Biodiversity Museum,49.2631644,-123.2508965,"not matched: 13.76, ['Magma Cafè', (49.262659, -123.2517449)]"
Fresh Legend,49.232777,-123.032778,"not matched: 40.91, ['Fortune Lamb Dining', (49.232883, -123.0331425)]"
Vino Volo,49.1972558564,-123.1743979454,"not matched: 34.06, ['Tim Hortons', (49.197642, -123.1745765)]"
Yoko Sushi ,49.2492979664,-122.867572733,"matched: 93.45, ['Yoko Sushi', (49.2493578, -122.867572)]"
Dragon Ball Tea House,49.2494922,-123.1279258,"matched: 98.8, ['Dragon Ball Tea House', (49.2494619, -123.127949)]"
Kiyoko Takeuchi and Associates,49.2633531,-123.1391261,"not matched: 42.53, ['CTC Bank Of Canada', (49.263474, -123.1391262)]"
Nature Republic,49.184072203,-123.1339381635,"not matched: 23.82, [""Fisherman's Terrace Seafood Restaurant"", (49.183412, -123.1341756)]"
Sushi California,49.2630454634,-123.112614326,"matched: 98.2, ['Sushi California', (49.2630632, -123.1125425)]"
MYST Asian Fusion,49.2193525649,-122.9706721008,"matched: 99.7, ['MYST Asian Fusion', (49.2193536, -122.970685)]"
Romer's Burger Bar,49.2680701,-123.1475085,"partially matched: 63.76, [""Romer's"", (49.2681736, -123.1472684)]"
CrossFit New West,49.1932782,-122.9414598,not matched
Woodman's Fine Cleaning,49.2866046,-123.118327,"not matched: 46.11, ['JOEY Bentall One', (49.2866651, -123.11834)]"
TD Canada Trust,49.289011,-123.121666,"matched: 82.9, ['TD Canada Trust', (49.2885746, -123.1212752)]"
Mr. Red Cafe,49.2640755304,-123.1659137158,not matched
Walmart,49.1876755039,-122.8460060433,"not matched: 42.74, ['White Spot', (49.1876258, -122.8459699)]"
Master Tailors,49.281361,-123.120567,"not matched: 43.22, ['Burger King', (49.2811705, -123.120411)]"
SunScape Tanning Studios,49.2766117,-123.1218614,"not matched: 29.53, ['Small Victory', (49.2764571, -123.121214)]"
The Village Barber,49.3362707903,-123.03831073,"not matched: 39.42, ['North Vancouver District Public Library - Lynn Valley', (49.3363927, -123.038629)]"
Bella Ceramica,49.3282776854,-123.1554915852,"not matched: 36.09, ['Lao Chi Chinese Cuisine', (49.3281899, -123.1551562)]"
Clear Hair Studio,49.2786907,-123.1302667,"not matched: 45.94, ['Maple Leaf Delicatessen Coffe Shop', (49.2787028, -123.1302045)]"
Akari Japanese Restaurant,49.134882957,-122.8919201082,"not matched: 31.32, ['Starbucks', (49.1346015, -122.891924)]"
Snowbear Bakery,49.210252,-123.140755,"not matched: 38.65, ['Scotiabank', (49.2106756, -123.140807)]"
Rogue Kitchen & Wetbar,49.263047,-123.117827,"matched: 96.4, ['Rogue Kitchen & Wetbar', (49.2630984, -123.1176938)]"
Mr Shawarma,49.2853482,-123.1206773,"matched: 88.6, ['Mr Shawarma', (49.2852994, -123.120164)]"
Heavenly Soul,49.2348436584,-123.1618614038,"not matched: 40.97, ['One Bowl', (49.2350707, -123.1615614)]"
Les Faux Bourgeois,49.2572813531,-123.0897673308,"matched: 98.2, ['Les Faux Bourgeois', (49.2572902, -123.0896916)]"
Shoppers Drug Mart,49.2437295,-123.0900877,not matched
Reckless Bike Stores,49.2730815513,-123.1202987704,"not matched: 36.57, ['Coast Capital Savings', (49.2732597, -123.1206532)]"
The Pie Hole,49.220151,-122.928525,"not matched: 41.4, ['Central City Animal Hospital', (49.2200507, -122.9287177)]"
Pizza Hut,49.222595,-122.914629,"not matched: 21.31, ['Subway', (49.2230001, -122.9139689)]"
Gabi & Jules,49.277985,-122.8612024,not matched
Zumiez,49.2274845,-122.9998322,"not matched: 43.19, ['HellCrust Pizza', (49.2275306, -122.999928)]"
Dazzle Carpet Cleaning,49.2689672,-123.0704552,"not matched: 42.8, ['Cafe Calabria', (49.2689086, -123.0698532)]"
West Coast Seeds,49.0925499048,-123.0848561213,not matched
Aarm Dental Group on Denman,49.2903484,-123.137393,"not matched: 42.75, ['Hui Lau Shan', (49.2904186, -123.1372778)]"
Pho 99 Broadway Tech Centre,49.2596365,-123.0434793,"not matched: 44.38, ['YMCA Child Care Renfrew Station', (49.259672, -123.0435025)]"
Bell,49.2853736,-123.1259808,"not matched: 44.73, ['Hello Nori', (49.2856233, -123.1261012)]"
Pho Boi,49.2236549,-122.9838496,"matched: 86.76, ['Phơ Boi', (49.2236028, -122.9839649)]"
Screamers Soft Serve and Treats,49.1247293611,-123.1859490768,"not matched: 36.32, ['Steveston Pizza Co.', (49.125047, -123.1855427)]"
Sushi Maki Japanese Cuisine,49.2807542,-123.1249069,"partially matched: 68.55, ['Sushi Maki', (49.2807616, -123.124887)]"
Solaris Vancouver Driving School,49.2602012,-123.1172072,not matched
Coffee + Vanilla,49.2487642368,-122.8631833657,"matched: 93.64, ['Coffee & Vanilla', (49.2488267, -122.863287)]"
Jazen Tea,49.2270157,-123.1288733,"matched: 96.7, ['Jazen Tea', (49.22701, -123.1287335)]"
Freshslice Pizza,49.2378945,-123.0319888,"not matched: 47.09, ['Super Great Pizza', (49.238319, -123.0323183)]"
Ramen Kobo,49.17711499,-123.1461981458,"not matched: 23.35, ['Wasuta Pasta', (49.1776673, -123.146301)]"
Blue Sky Clothing,49.3226519,-123.0726435,"not matched: 37.54, ['Tim Hortons', (49.3224421, -123.0726121)]"
Tractor,49.2695864693,-123.1028566413,"matched: 97.3, ['Tractor', (49.2696579, -123.1029057)]"
Evolve Therapeutic Massage Clinic,49.1694882,-123.1367927,"not matched: 42.22, ['Wang Ji Asian Cuisine', (49.1692987, -123.136793)]"
Days Inn Downtown,49.2863606,-123.116895,"not matched: 38.14, ['Tim Hortons', (49.2860889, -123.1163367)]"
Thai Son Restaurant,49.2629941,-123.0967589,"partially matched: 69.83, ['Thai Son', (49.2629465, -123.0967703)]"
Tony's Fish & Oyster Cafe,49.2707061,-123.1364206,"matched: 88.84, [""Tony's Fish and Oyster Café"", (49.2707436, -123.1363777)]"
Cactus Club Cafe,49.2633734327,-123.1171303272,"not matched: 35.91, ['Elysian Coffee Roasters', (49.2630977, -123.1172998)]"
Best Western Plus Uptown Hotel,49.2618219819,-123.0980712,"not matched: 32.75, ['Kingsgate Dental', (49.2622468, -123.098074)]"
L2 Leone,49.2861632,-123.1142765,"not matched: 17.98, ['Oceanfront Dental Centre', (49.286953, -123.1140827)]"
Navraj Sweets & Restaurant,49.150180143,-122.8664377498,not matched
Craftsman Collision,49.2844449,-123.0671527,"not matched: 39.75, ['Slow Hand Tasting Room', (49.2842911, -123.0673128)]"
Executive Suites Hotel,49.2676115,-123.0106754,not matched
Tian Shi Fu,49.17879,-123.132851,"partially matched: 65.9, ['Tian Shi Fu Restaurant', (49.178517, -123.13296)]"
Urban Fare,49.2891578,-123.1227365,"not matched: 22.05, ['Panago', (49.288332, -123.122596)]"
Wah Wing Restaurant,49.2720872,-122.7895436,"not matched: 34.59, ['Waves', (49.2721862, -122.7899314)]"
Centrepoint Dollar Store,49.2587238,-123.1017508,"not matched: 45.67, ['Print Express', (49.2586806, -123.1014686)]"
North Burnaby Physiotherapy,49.2817509,-123.0222039,"not matched: 22.84, ['Hiro Sushi', (49.2813429, -123.0229786)]"
Christine's Grooming Studio,49.194669,-123.0742808,not matched
The Pumpjack Pub,49.281572,-123.132628,"partially matched: 71.9, ['Pumpjack', (49.2814951, -123.132742)]"
Aurora Massage Therapy Clinic,49.2660641,-123.1459835,"not matched: 43.09, ['Gateau de Henry', (49.265884, -123.1459063)]"
The Deck Kitchen + Bar,49.1906651661,-123.1393299955,"not matched: 38.9, ['Pier 73', (49.190695, -123.139231)]"
Delany's Coffee,49.3341785,-123.179985,"matched: 83.9, [""Delany's Coffee House"", (49.3341449, -123.1800579)]"
Vancouver Foodie Tours,49.271604,-123.134757,"not matched: 35.32, ['Edible Canada', (49.2716489, -123.1348563)]"
Dollar Grocers,49.2648302,-123.0694324,"not matched: 29.68, ['B House Restaurant', (49.26439, -123.069515)]"
Vancouver Electrolysis Centre,49.263303,-123.121048,"partially matched: 64.4, ['Vancouver Family Practice Centre', (49.2630332, -123.1209212)]"
7-Eleven,49.2336226,-123.0356543,"not matched: 29.57, ['Kung Fu Noodle', (49.2334254, -123.035338)]"
Craft & Cork Kitchen + Taphouse,49.2485987284,-122.8172074383,"not matched: 12.86, ['Panago', (49.2485878, -122.8185089)]"
Showcase Restaurant & Bar,49.2878816,-123.1204418,"matched: 92.2, ['Showcase Restaurant & Bar', (49.2879048, -123.1200971)]"
Vancouver Aquarium,49.3007944919,-123.1309300283,not matched
Barbarella Hair Salon,49.2559628,-123.1016985,"not matched: 37.21, ['The General Public', (49.2558002, -123.101559)]"
Me-N-Ed's Pizza Parlor,49.219113,-122.9546077,"not matched: 37.83, ['Pizza Art', (49.2185492, -122.953863)]"
Donair and Sub House,49.2221803,-122.9314802,"matched: 91.45, ['Donair & Sub House', (49.2221718, -122.9314343)]"
Rose Nails & Spa,49.2309842,-123.1558802,"not matched: 35.25, ['Chatime', (49.2310932, -123.155862)]"
Holiday Inn Hotel & Suites Vancouver Downtown,49.2784324,-123.125628,"not matched: 35.32, ['Unwind', (49.2784482, -123.125521)]"
Dumalo Optometry,49.3220608,-123.0697421,not matched
Pho Japolo,49.3251265,-123.1242638,not matched
Blenz Coffee,49.167883,-123.138336,"not matched: 24.74, ['Richmond Centre', (49.1681334, -123.137205)]"
A&W,49.197946,-123.178542,"matched: 98.8, ['A&W', (49.197921, -123.178503)]"
Polish Community Centre,49.2491116,-123.0901617,"not matched: 36.72, ['Earnest Ice Cream', (49.2493503, -123.0898772)]"
Tamarind Hill Malaysian Cuisine,49.212382917,-122.9214978218,"not matched: 34.65, ['Hi Dozo Sushi', (49.2121752, -122.9218505)]"
Save On Foods,49.2584906036,-123.0316975,"not matched: 29.19, ['Boston Pizza', (49.2584314, -123.030685)]"
Top Shanghai Cuisine Restaurant,49.171282,-123.135086,"matched: 96.4, ['Top Shanghai Cuisine Restaurant', (49.1713722, -123.1350086)]"
Vancouver Veggie Pizza,49.2189956,-123.1020791,"not matched: 37.46, ['Original Tandoori Kitchen', (49.2190954, -123.102085)]"
Puppies Fish & Critters,49.1314492712,-122.8928660196,"not matched: 27.18, ['Scottsdale', (49.1313803, -122.892251)]"
Wool & Wicker,49.1258879,-123.184391,"not matched: 28.27, ['Ichiro Japanese Restaurant', (49.1262429, -123.1844405)]"
Yuk Yuk's Comedy Club,49.2600746,-123.1154149,"matched: 84.7, ['Yuck, Yucks Comedy Club', (49.2600139, -123.1153253)]"
30 Minute Hit Burnaby,49.268016,-123.0059975,"not matched: 39.81, ['Pita Pit', (49.2678061, -123.006243)]"
Green's Moving Solutions,49.262563,-123.0438412,"not matched: 29.06, [""Vallarta's Mexican Restaurant"", (49.2622786, -123.0447248)]"
Costco,49.2602364175,-122.9991676895,not matched
Spade,49.2679697,-123.0693353,"matched: 96.4, ['Spade', (49.2678955, -123.0694445)]"
Clara Couture Bridal,49.2642204,-123.1459326,"partially matched: 51.37, ['Papaya Hut Restaurant', (49.2641652, -123.1459222)]"
Ramen Danbo,49.2874959132,-123.1289341673,"matched: 98.5, ['Ramen Danbo', (49.2874551, -123.1289336)]"
Happy Currency Exchange,49.2295604,-123.0019197,"matched: 89.2, ['Happy Currency Exchange', (49.2293416, -123.001565)]"
Darby's Liquor Store,49.2680934,-123.1686163,"partially matched: 73.6, [""Darby's Public House & Liquor Store"", (49.2682508, -123.1686006)]"
JOS,49.2890737079,-123.1220084776,"matched: 96.4, ['JOS', (49.2890203, -123.1221386)]"
Steveston Village Vietnamese Restaurant,49.124246475,-123.180953002,"partially matched: 54.07, ['Steveston Built Local Taphouse', (49.1240805, -123.1809116)]"
Giancarlo's Sports Bar,49.2680217,-123.0698754,"not matched: 43.04, ['Belgian Fries', (49.2679231, -123.069879)]"
Fuel Supplements Vitamins and Nutrition,49.313472,-123.0766398,"not matched: 36.24, ['Peak Dental Arts', (49.3131903, -123.0769684)]"
CGS Dentistry,49.282849,-122.7985129,"not matched: 30.4, ['Browns Socialhouse', (49.2825398, -122.7985274)]"
The Latest Scoop,49.2844863,-123.108996,"partially matched: 50.87, ['The Black Frog', (49.2845626, -123.1084807)]"
Tangled Hair Studio,49.267475,-123.0060101,"not matched: 38.61, ['Sushi Yoi', (49.2676495, -123.006245)]"
Village Pub,49.2152244666,-123.0305596963,not matched
Starbucks,49.2635666341,-123.119808733,"not matched: 39.03, ['Shanghai Lu Restaurant', (49.2634656, -123.1200652)]"
Old Farmhouse Kitchen,49.1880766,-122.9837983,not matched
Baroness,49.2639402,-123.1678526,"partially matched: 70.13, ['Baroness Bubble Tea', (49.2639357, -123.1679165)]"
Starbucks,49.2799322804,-123.1073776225,"matched: 99.4, ['Starbucks', (49.2799372, -123.1073562)]"
Kiriri,49.1549127,-123.1258404,"partially matched: 51.6, ['Kiriri Japanese Cuisine & Sushi Bar', (49.1546847, -123.125784)]"
Black Echo Coffee,49.2749885,-123.1211697,"not matched: 46.61, ['Blenz Coffee', (49.2757856, -123.1211099)]"
Steveston Seabreeze Adventures,49.1236084,-123.1815593,"not matched: 38.8, ['Steveston Built Local Taphouse', (49.1240805, -123.1809116)]"
La-Z-Boy Furniture Galleries,49.191263655,-123.1112618055,"not matched: 20.02, ['Pizza Pizza', (49.1916929, -123.1106699)]"
Gingeri Chinese Cuisine,49.17597,-123.13064,"matched: 92.2, ['Gingeri Chinese Cuisine', (49.1761102, -123.1309092)]"
Freshii,49.188987057,-122.8022241989,"matched: 85.6, ['Freshii', (49.189306, -122.8026622)]"
Peter J Marr. MD,49.2891555,-123.1314048,"not matched: 39.21, ['Kazami Japanese Restaurant', (49.2889396, -123.1312094)]"
Chef Hung Taiwanese Beef Noodle,49.2781809,-122.9098695,"partially matched: 54.43, ['Chef Hung', (49.2781668, -122.910361)]"
Gilligan Girls Flowers,49.2466658,-123.1014882,"not matched: 43.03, ['Trilussa Pizza & Pane', (49.2464875, -123.1014442)]"
Sciué Italian Bakery Caffé,49.2869515,-123.1221841,"not matched: 35.99, ['Indian Delicacy', (49.2873634, -123.1216746)]"
Chilli Lee,49.3267203,-123.0725335,"partially matched: 67.35, ['Chilli Lee Szechuan Cuisine', (49.3267241, -123.0724511)]"
Novo Furniture,49.250603,-123.1007856,"not matched: 39.75, ['Sun Sui Wah Seafood Restaurant', (49.2503562, -123.1007457)]"
Pacific Auto Trim and Glass,49.2664868,-123.1100115,"not matched: 25.53, ['The Beaumont Studios', (49.2664805, -123.1110397)]"
Thai Away Home,49.2557391,-123.1153779,"matched: 98.8, ['Thai Away Home', (49.2557109, -123.1153628)]"
"Solutions Printing, Signs & Awnings",49.2217914,-122.9863488,"not matched: 25.2, ['Portuguese Canadian Seniors Foundation', (49.2215406, -122.985197)]"
Clubone Cafe,49.1694402,-123.1331724,"not matched: 35.23, ['Matcha Cafe Maiko', (49.1690117, -123.1327737)]"
Trees Organic Coffee,49.2741636,-123.1273471,"not matched: 41.29, ['Return-It Express Yaletown', (49.2741415, -123.1271951)]"
Tim Hortons,49.2493977,-123.1157883,"matched: 96.7, ['Tim Hortons', (49.249466, -123.1156862)]"
English Bay Bike Rentals,49.2866937,-123.1411822,"not matched: 42.04, ['Tim Hortons', (49.2866314, -123.14109)]"
DHL Express,49.2845315,-123.1175059,"partially matched: 62.13, ['Caffe Express', (49.2845541, -123.1181578)]"
Dorset Realty Group,49.1859556,-123.1074195,"not matched: 29.4, ['Eggspectation', (49.1855406, -123.1080009)]"
Fatty Cow Seafood Hot Pot,49.2380136,-123.0651025,"matched: 97.6, ['Fatty Cow Seafood Hot Pot', (49.2380141, -123.0652047)]"
Smak Healthy Fast Food,49.28799,-123.1214006,"partially matched: 59.01, ['SMAK', (49.2879677, -123.1214202)]"
Farzad's Barber Shop,49.2750998,-123.1232894,"not matched: 41.63, ['Yaletown Gelato', (49.2750378, -123.123373)]"
Downtown Radiology,49.2791047,-123.1007624,"not matched: 23.89, ['Gold Stone Bakery & Restaurant', (49.2796207, -123.1011093)]"
Viet Flavour Restaurant,49.2635596,-123.1464248,"matched: 98.5, ['Viet Flavour Restaurant', (49.2635437, -123.1463685)]"
Creekside Kayaks,49.2717209,-123.1053657,"not matched: 27.33, ['Tap & Barrel', (49.2717552, -123.1060666)]"
Nando's,49.3261932,-123.1365266,"matched: 87.1, [""Nando's"", (49.3262139, -123.1359438)]"
Steve’s Poké Bar,49.2502266,-122.8958023,"not matched: 30.21, ['Family Lounge', (49.2505823, -122.8958192)]"
H Mart,49.1833396036,-123.1336369325,"not matched: 29.28, [""Fisherman's Terrace Seafood Restaurant"", (49.183412, -123.1341756)]"
Sushi Karis,49.2493462645,-122.865828909,"not matched: 25.5, ['BMO', (49.2492293, -122.86591)]"
Starbucks,49.2803847943,-123.1309286095,"matched: 99.7, ['Starbucks', (49.2803846, -123.130937)]"
Memorable Maids,49.2817296,-123.1273904,"not matched: 25.8, ['Vanwest College', (49.28166, -123.127029)]"
Hopewell Chinese Kitchen,49.2690233,-123.0456737,"not matched: 34.77, ['East One Seafood Restaurant', (49.2691846, -123.045359)]"
Sombreros Mexican Products & Taqueria,49.276764299999996,-123.1284177,"not matched: 44.88, ['Blue Mountain', (49.276729, -123.128475)]"
Mink Lash Boutique,49.2787315,-123.1303041,"not matched: 44.2, ['Maple Leaf Delicatessen Coffe Shop', (49.2787028, -123.1302045)]"
H.R. MacMillan Space Centre,49.2763835,-123.1445046,not matched
MCC Thrift Store,49.2308256,-123.0904291,"not matched: 40.24, ['Off the Grid Waffle Cafe', (49.2306058, -123.0908166)]"
Shoes on Fourth,49.26793,-123.1524505,"not matched: 44.24, ['Sophies Cosmic Cafe', (49.2682468, -123.1525549)]"
Mr. Mustache Tea & Dessert,49.2291191,-122.9991509,"matched: 94.6, ['Mr. Mustache Tea & Dessert', (49.2290279, -122.9989508)]"
OPUS Hotel Vancouver,49.2746672,-123.1225135,"not matched: 39.44, ['Caffé Artigiano', (49.2745255, -123.122419)]"
B B Skin Health Care Clinic,49.3214715,-123.0724193,"not matched: 37.68, ['Krua Thai', (49.3217244, -123.0725862)]"
T&T Supermarket,49.173599,-123.148358,"not matched: 24.17, ['Milkcow Cafe', (49.173516, -123.1475786)]"
Cutie Pie Wax Bar,49.3283118914,-123.157772983,"not matched: 37.65, ['Chef Hung Taiwanese Noodle', (49.3283331, -123.1581623)]"
The Boathouse Restaurant,49.1995806,-122.9128469,"partially matched: 70.04, ['The Boathouse', (49.1995895, -122.9125081)]"
Walter The Tailor,49.1698638,-123.1376545,"not matched: 39.91, ['Kirin Seafood Restaurant', (49.1697933, -123.1378771)]"
Loafe Cafe,49.2659754,-123.2499061,"not matched: 35.58, ['Blue Chip Cafe', (49.2667996, -123.2499585)]"
Marcell Shoe Renew,49.328077,-123.15515,"not matched: 46.02, ['Lao Chi Chinese Cuisine', (49.3281899, -123.1551562)]"
Sugar Skull Studio,49.283196966,-123.1063878536,"not matched: 42.74, ['Jules Bistro', (49.2834234, -123.1064112)]"
Lu Charcoal Grill,49.1800883459,-123.13537253,"matched: 97.9, ['Lu Charcoal Grill', (49.1800344, -123.1353466)]"
Starbucks,49.2779142,-122.8031797,"not matched: 26.16, ['Dr Ali Amiri-Chiropractor', (49.2778288, -122.8025742)]"
Busan Daeji Gukbap North Van,49.314017,-123.0791,"partially matched: 79.38, ['Busan Daeji Gukbap Restaurant', (49.3139495, -123.07891)]"
Head's Up Hair & Body Spa,49.277006,-122.79969,not matched
Cliffhanger Climbing,49.2683168,-123.0900108,not matched
House of Dosas,49.250466,-123.0763251,"matched: 97.6, ['House of Dosas', (49.2504077, -123.0762609)]"
Dressew Supply,49.2832352108,-123.1103780992,"not matched: 30.69, ['Nemesis', (49.282764, -123.1102832)]"
Mediterranean Grill,49.2877464,-123.1409009,"matched: 99.1, ['Mediterranean Grill', (49.2877383, -123.1408632)]"
Coast Wilderness Medical Training,49.211801,-123.140057,"not matched: 40.93, ['Sushi King House', (49.2116748, -123.1401802)]"
Advantage Vacuums,49.2339996,-123.1557573,"not matched: 29.85, ['Baoguette Vietnamese Bistro', (49.2344735, -123.1561983)]"
Bluhouse Market & Cafe,49.326842566,-122.9510566295,"matched: 95.37, ['BluHouse Market + Cafe', (49.3269089, -122.9510904)]"
Platinum Pro-claim,49.18119,-123.069835,"not matched: 31.18, ['Quiznos', (49.1813334, -123.0694791)]"
University Women's Club of Vancouver At Hycroft,49.2572531,-123.1367422,not matched
Patterson Wonton House,49.2787832,-123.1282499,"matched: 97.6, ['Patterson Wonton House', (49.2788077, -123.12816)]"
Caffe Divano,49.2832939433,-122.7937532365,"partially matched: 78.1, ['Caffe Divano', (49.2839076, -122.7934359)]"
Vera's On The Drive,49.2718323,-123.0696006,"not matched: 45.58, ['Harbour Oyster + Bar', (49.2719391, -123.0694126)]"
Vassilis Souvlaki Greek Taverna,49.2188919,-122.9685771,"matched: 95.95, ['Vassillis Souvlaki Greek Taverna', (49.218898, -122.968487)]"
Cakes n Sweets,49.2783034,-122.8073134,"not matched: 23.17, [""Domino's"", (49.2787084, -122.8066737)]"
Moores Clothing for Men,49.227428278,-122.995447,"not matched: 36.72, ['Metrohealth Clinic', (49.2271779, -122.994869)]"
Hair by MaXim,49.2378329,-123.1556873,"not matched: 40.2, ['Sushi King House', (49.2377976, -123.1556386)]"
Scarlet,49.2848453,-123.114412,"not matched: 46.57, ['Trees Coffee', (49.2848065, -123.1143227)]"
Rosellen Suites at Stanley Park,49.292214,-123.1413108,not matched
Tropicana Suites On Robson,49.287531,-123.129351,"not matched: 41.67, [""Stepho's"", (49.287665, -123.1292506)]"
Black Mill Tea,49.1786711483,-123.1355212331,"matched: 99.4, ['Black Mill Tea', (49.1786845, -123.135528)]"
Fung May,49.2288939318,-123.0047833755,"matched: 95.2, ['Fung May', (49.2287941, -123.0049323)]"
Kennedy's  Pub,49.1629361,-122.8929397,not matched
Burrard Vacuums,49.2705381,-123.1459898,"not matched: 36.08, ['Kahve café', (49.2705516, -123.146241)]"
Burger King,49.2779855,-122.8112574,"matched: 95.2, ['Burger King', (49.2781282, -122.8112429)]"
Structube,49.2643736,-123.138874,"not matched: 27.36, ['Freshslice Pizza', (49.2641666, -123.138328)]"
Colette's Frocks,49.3119147,-123.0791846,"not matched: 42.67, ['Fishworks', (49.3117439, -123.0790782)]"
The Butcher & Bullock,49.28628,-123.1173056,"matched: 91.9, ['The Butcher & Bullock', (49.2861746, -123.1169768)]"
West Fourth Chiropractic,49.2685488,-123.1698732,"not matched: 30.76, ['Nishi Restaurant', (49.2685192, -123.1706435)]"
Cultured Coffee & Tea,49.2609881,-123.1164951,"not matched: 29.76, ['City Square', (49.2610157, -123.1157463)]"
Delish Gluten Free Bakery,49.2471629,-122.7558756,not matched
Pho Edmonds,49.221946929,-122.9457650331,"matched: 97.3, ['Pho Edmonds', (49.2218823, -122.945818)]"
Minoas Greek Taverna,49.232991,-123.019224,"matched: 98.2, ['Minoas Greek Taverna', (49.2330399, -123.019254)]"
Tasty Indian Bistro,49.1545199,-122.8905009,"matched: 87.7, ['Tasty Indian Bistro', (49.1542575, -122.8908904)]"
Great West Coin Laundromat,49.2685497204,-123.1708605922,"partially matched: 50.06, ['Nishi Restaurant', (49.2685192, -123.1706435)]"
BC Liquor Store,49.252692,-122.89369429999999,"not matched: 46.81, ['Cameron Street', (49.2529038, -122.893414)]"
Richmond Subaru,49.1868189,-123.1346003,not matched
